person_id,frame_number,center_x,center_y
0,0,131,104
0,1,131,104
0,2,131,104
0,3,132,103
0,4,132,103
0,5,132,103
0,6,132,103
0,7,131,103
0,8,131,103
0,9,131,103
0,10,130,101
0,11,129,101
0,12,129,103
0,13,131,103
0,14,131,103
0,15,114,103
0,16,112,104
0,17,112,103
0,18,106,103
0,19,106,102
0,20,105,102
0,21,105,102
0,22,106,102
0,23,105,101
0,24,105,101
0,25,106,100
0,26,105,103
0,27,104,102
0,28,105,103
0,29,109,103
0,30,108,101
0,31,110,102
0,32,111,102
0,33,111,102
0,34,113,102
0,35,113,101
0,36,114,102
0,37,114,101
0,38,117,101
0,39,121,100
0,40,121,102
0,41,121,102
0,42,121,101
0,43,121,101
0,44,123,102
0,45,123,102
0,46,123,102
0,47,123,102
0,48,124,101
0,49,125,101
0,50,125,101
0,51,125,101
0,52,125,102
0,53,125,102
1,0,184,100
1,1,185,101
1,2,185,101
1,3,184,101
1,4,185,102
1,5,185,101
1,6,186,100
1,7,187,100
1,8,187,99
1,9,187,100
1,10,188,101
1,11,188,101
1,12,190,100
1,13,189,100
1,14,190,100
1,15,191,100
1,16,189,100
1,17,189,101
1,18,188,100
1,19,187,101
1,20,187,101
1,21,187,101
1,22,186,100
1,23,187,101
1,24,187,102
1,25,187,102
1,26,187,102
1,27,187,100
1,28,189,101
1,29,188,102
1,30,186,101
1,31,176,89
1,32,185,101
1,33,176,89
1,34,185,102
1,35,179,88
1,36,185,101
1,37,178,89
1,38,187,101
1,39,178,89
1,40,187,101
1,41,187,100
1,42,187,99
1,43,188,100
1,44,188,100
1,45,187,101
1,46,187,99
1,47,187,100
1,48,186,99
1,49,186,99
1,50,186,100
1,51,185,101
1,52,186,100
1,53,185,99
1,54,185,99
1,55,185,100
1,56,184,99
1,57,184,100
1,58,183,100
1,59,183,100
1,60,184,100
1,61,183,100
1,62,184,99
1,63,184,99
1,64,184,100
1,65,184,99
1,66,184,100
1,67,183,100
2,0,36,100
2,1,36,100
2,2,36,100
2,3,36,100
2,4,36,100
2,5,36,100
2,6,36,100
2,7,36,100
2,8,35,98
2,9,35,98
2,10,35,98
2,11,35,98
2,12,35,98
2,13,35,98
2,14,35,98
2,15,35,98
2,16,34,100
2,17,34,100
2,18,34,100
2,19,34,100
2,20,34,100
2,21,34,100
2,22,34,100
2,23,34,100
2,24,34,100
2,25,34,100
2,26,34,100
2,27,34,100
2,28,34,100
2,29,34,100
2,30,34,98
2,31,34,98
2,32,34,98
2,33,34,98
2,34,34,100
2,35,34,100
2,36,34,100
2,37,34,100
2,38,34,100
2,39,34,100
2,40,34,100
2,41,34,100
2,42,34,100
2,43,34,100
2,44,34,100
2,45,34,100
2,46,34,100
2,47,34,100
2,48,34,100
2,49,34,100
2,50,34,98
2,51,34,99
2,52,34,99
2,53,34,99
2,54,34,99
2,55,34,99
2,56,34,99
2,57,34,99
2,58,34,99
2,59,34,99
2,60,34,99
3,0,66,105
3,1,66,105
3,2,66,105
3,3,66,105
3,4,66,105
3,5,66,105
3,6,66,105
3,7,66,105
3,8,66,105
3,9,66,105
3,10,66,105
3,11,66,105
3,12,66,105
3,13,66,105
3,14,66,105
3,15,66,105
3,16,66,105
3,17,65,106
3,18,65,106
3,19,65,106
3,20,65,106
3,21,65,106
3,22,66,107
3,23,64,107
3,24,64,107
3,25,65,106
3,26,64,107
3,27,66,109
3,28,65,106
3,29,65,106
3,30,65,106
3,31,64,107
3,32,64,107
3,33,65,106
3,34,65,106
3,35,65,106
3,36,65,106
3,37,65,106
